table_name,ordinal_position,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default
sale,21,bldg_usg,text,,,,YES,
sale,22,dclr_se,text,,,,YES,
sale,23,opbiz_restagnt_sgg_nm,text,,,,YES,
sale,24,lat,numeric,,10,7,YES,
sale,25,lng,numeric,,10,7,YES,
sale,26,created_at,timestamp with time zone,,,,NO,CURRENT_TIMESTAMP
sale,27,updated_at,timestamp with time zone,,,,NO,CURRENT_TIMESTAMP
sale,28,gu_key,text,,,,YES,
sale,29,dong_key,text,,,,YES,
sale,30,name_key,text,,,,YES,
sale,31,lot_key,text,,,,YES,
spatial_ref_sys,1,srid,integer,,32,0,NO,
spatial_ref_sys,2,auth_name,character varying,256,,,YES,
spatial_ref_sys,3,auth_srid,integer,,32,0,YES,
spatial_ref_sys,4,srtext,character varying,2048,,,YES,
spatial_ref_sys,5,proj4text,character varying,2048,,,YES,
v_apt_markers,1,id,text,,,,YES,
v_apt_markers,2,name,text,,,,YES,
v_apt_markers,3,lat,double precision,,53,,YES,
v_apt_markers,4,lng,double precision,,53,,YES,
v_apt_markers,5,gu,text,,,,YES,
v_apt_markers,6,dong,text,,,,YES,
v_apt_markers,7,addr_road,text,,,,YES,
v_apt_markers,8,addr_jibun,text,,,,YES,
